epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1117.24,0.1654,2.52029,0.45132,0.97958,0.98829,0.98843,0.69995,0.15506,2.0974,0.44787,0.000828443,0.000828443,0.000828443
43,1145.09,0.16046,2.58334,0.44677,0.98126,0.98211,0.98938,0.73284,0.15434,2.14323,0.44775,0.000820525,0.000820525,0.000820525
44,1172.82,0.16293,2.49936,0.44925,0.97863,0.98622,0.99124,0.73055,0.14969,2.10575,0.43983,0.000812468,0.000812468,0.000812468
45,1200.13,0.16406,2.61232,0.45271,0.98501,0.9851,0.99086,0.73053,0.14925,2.0804,0.43691,0.000804277,0.000804277,0.000804277
46,1227.32,0.16226,2.56987,0.44877,0.97935,0.98958,0.99222,0.73192,0.14779,2.0589,0.43464,0.000795954,0.000795954,0.000795954
47,1254.29,0.1607,2.54799,0.44519,0.98285,0.98593,0.98839,0.72598,0.1507,2.01707,0.43951,0.000787503,0.000787503,0.000787503
48,1281.43,0.16091,2.47192,0.44679,0.98062,0.98274,0.98806,0.72474,0.15227,2.14083,0.44147,0.000778929,0.000778929,0.000778929
49,1308.68,0.15975,2.40912,0.44604,0.98178,0.98287,0.98896,0.7297,0.14583,1.9864,0.43234,0.000770234,0.000770234,0.000770234
50,1335.9,0.16189,2.54618,0.44777,0.98345,0.98962,0.99266,0.73706,0.15173,2.03803,0.43988,0.000761423,0.000761423,0.000761423
51,1363.13,0.15885,2.45702,0.44166,0.98664,0.98671,0.99229,0.72779,0.15243,2.05029,0.44179,0.0007525,0.0007525,0.0007525
52,1390.15,0.15885,2.40023,0.44463,0.98377,0.98568,0.9866,0.7096,0.15056,2.01133,0.44,0.000743468,0.000743468,0.000743468
53,1417.31,0.15932,2.49559,0.44279,0.98879,0.98758,0.99284,0.72141,0.15303,2.02901,0.44385,0.000734332,0.000734332,0.000734332
54,1444.27,0.16053,2.46406,0.44381,0.98039,0.98062,0.98909,0.72728,0.15057,2.12142,0.4393,0.000725094,0.000725094,0.000725094
55,1471.3,0.15923,2.37593,0.43751,0.98138,0.98139,0.98752,0.7335,0.15404,2.02523,0.44454,0.000715761,0.000715761,0.000715761
56,1498.18,0.15794,2.39821,0.43875,0.98424,0.98413,0.98836,0.72457,0.14882,1.95855,0.43503,0.000706335,0.000706335,0.000706335
57,1525,0.15783,2.40112,0.44138,0.98004,0.98529,0.99019,0.73145,0.14706,1.96791,0.43159,0.00069682,0.00069682,0.00069682
58,1552.12,0.16114,2.42615,0.44515,0.97879,0.98924,0.99154,0.71805,0.15192,1.9799,0.44014,0.000687222,0.000687222,0.000687222
59,1579.37,0.16405,2.47698,0.44455,0.98307,0.98733,0.99168,0.71652,0.14978,2.00341,0.43519,0.000677543,0.000677543,0.000677543
60,1606.45,0.15978,2.40261,0.44455,0.97929,0.99056,0.99194,0.72689,0.14913,2.00657,0.4345,0.000667789,0.000667789,0.000667789
61,1633.69,0.1616,2.39798,0.44125,0.97853,0.98421,0.98679,0.73334,0.14645,1.98535,0.43237,0.000657963,0.000657963,0.000657963
62,1660.62,0.15305,2.33499,0.42871,0.98235,0.98308,0.99157,0.73817,0.14701,2.03311,0.43016,0.000648071,0.000648071,0.000648071
63,1687.64,0.15677,2.37718,0.43709,0.9791,0.98743,0.99137,0.73177,0.14684,1.93397,0.43199,0.000638115,0.000638115,0.000638115
64,1714.56,0.15624,2.40193,0.43633,0.97478,0.98275,0.99121,0.73933,0.14446,1.94364,0.42912,0.000628101,0.000628101,0.000628101
65,1741.53,0.15676,2.40385,0.43519,0.98296,0.98544,0.99185,0.74251,0.14875,1.95953,0.43474,0.000618034,0.000618034,0.000618034
66,1768.54,0.15637,2.45097,0.44037,0.98551,0.98683,0.99286,0.73145,0.15173,1.96194,0.44184,0.000607916,0.000607916,0.000607916
67,1795.52,0.15713,2.30209,0.43448,0.98156,0.98665,0.98814,0.73364,0.14745,1.90781,0.43587,0.000597754,0.000597754,0.000597754
68,1822.55,0.15717,2.34352,0.43771,0.9872,0.99027,0.99261,0.74436,0.14364,1.86064,0.42716,0.000587551,0.000587551,0.000587551
69,1849.65,0.15426,2.29082,0.43459,0.98082,0.98466,0.99083,0.721,0.15208,1.98985,0.44239,0.000577311,0.000577311,0.000577311
70,1876.49,0.15372,2.2777,0.43022,0.98622,0.9861,0.99285,0.75218,0.14295,1.89072,0.42752,0.00056704,0.00056704,0.00056704
71,1903.52,0.15756,2.33716,0.43734,0.98181,0.98416,0.98917,0.74834,0.14784,1.90855,0.43266,0.000556742,0.000556742,0.000556742
72,1930.33,0.15384,2.26228,0.43482,0.98391,0.99074,0.99261,0.72507,0.15235,1.95942,0.43852,0.000546421,0.000546421,0.000546421
73,1957.14,0.15846,2.30801,0.43684,0.98297,0.9913,0.99245,0.73349,0.15021,1.93491,0.43395,0.000536081,0.000536081,0.000536081
74,1983.92,0.15387,2.33432,0.43269,0.9866,0.99129,0.99244,0.74792,0.14629,1.86277,0.42991,0.000525728,0.000525728,0.000525728
75,2010.66,0.15731,2.32654,0.44095,0.98065,0.98303,0.98929,0.74484,0.14543,1.88372,0.4312,0.000515366,0.000515366,0.000515366
76,2037.46,0.15586,2.27011,0.43527,0.98572,0.98723,0.99169,0.73104,0.14622,1.89819,0.43133,0.000505,0.000505,0.000505
77,2064.52,0.15161,2.27253,0.42576,0.9788,0.98638,0.99008,0.74608,0.14684,1.91672,0.43024,0.000494634,0.000494634,0.000494634
78,2091.39,0.15499,2.27116,0.4341,0.97591,0.98737,0.99187,0.73072,0.151,1.93579,0.43855,0.000484272,0.000484272,0.000484272
79,2118.17,0.15344,2.24554,0.42946,0.98199,0.97901,0.98968,0.72528,0.14837,1.88551,0.4331,0.000473919,0.000473919,0.000473919
80,2144.84,0.15229,2.25881,0.42835,0.98001,0.98697,0.98874,0.75592,0.14377,1.82557,0.42809,0.000463579,0.000463579,0.000463579
81,2171.76,0.15603,2.23181,0.43624,0.98293,0.98854,0.99274,0.74491,0.1475,1.88555,0.43381,0.000453258,0.000453258,0.000453258
